Team,ELO
Team BDS,1095.358897567174
G2 Esports,1068.853654851405
FaZe Clan,1058.5398402648907
Moist Esports,1025.0808832015252
Karmine Corp,1020.9264862201946
NRG,1019.6369973856689
Spacestation,1018.3607593071368
FURIA,1016.6366692274948
The Club ,1001.4362057537173
Renegades,999.7563550388469
Version1,991.6813457711733
Team Secret,990.5361814049027
01 Esports ,990.2799435281553
Pioneers,982.1877677330556
Senbei Strikers,979.992187958063
Veloce Esports ,979.7442058728632
 Orlando Pirates Exdee,979.4804394964557
Dignitas,976.6505978720551
 Team Falcons,973.1740751207822
SMPR ,972.1779317262315
 Gaimin Gladiators,970.0002383730222
 Bravado Gaming,969.9997616269778
 Endpoint,964.3167252447948
OpTic ,955.1918494534112
